IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
LIWIA,KOBIETA,9630
ADELA,KOBIETA,9597
VIRA,KOBIETA,9315
NICOLA,KOBIETA,9115
YEVHENIIA,KOBIETA,9115
NATASZA,KOBIETA,9021
FRANCISZKA,KOBIETA,8946
JOWITA,KOBIETA,8780
ANHELINA,KOBIETA,8617
VANESSA,KOBIETA,8592
MELANIA,KOBIETA,8303
DARYNA,KOBIETA,8236
APOLONIA,KOBIETA,8168
ELENA,KOBIETA,8142
ALFREDA,KOBIETA,7996
INGA,KOBIETA,7986
JESSICA,KOBIETA,7799
ROMANA,KOBIETA,7784
MARHARYTA,KOBIETA,7737
ADA,KOBIETA,7712
LESIA,KOBIETA,7660
MILANA,KOBIETA,7563
BIANKA,KOBIETA,7532
ESTERA,KOBIETA,7348
MARZENNA,KOBIETA,7289
SOFIA,KOBIETA,7258
ELEONORA,KOBIETA,7209
JULIANNA,KOBIETA,7178
KARYNA,KOBIETA,6939
ZLATA,KOBIETA,6768
ALISA,KOBIETA,6754
LUDWIKA,KOBIETA,6735
KIRA,KOBIETA,6731
ULIANA,KOBIETA,6722
YEVA,KOBIETA,6716
BERNADETTA,KOBIETA,6606
LIDIIA,KOBIETA,6573
MAYA,KOBIETA,6495
OLESIA,KOBIETA,6384
ZENONA,KOBIETA,6368
LILIA,KOBIETA,6190
RITA,KOBIETA,6148
EMMA,KOBIETA,6119
IDA,KOBIETA,6061
ANETTA,KOBIETA,6032
WACŁAWA,KOBIETA,6028
DONATA,KOBIETA,6007
MYROSLAVA,KOBIETA,5981
LUDMIŁA,KOBIETA,5941
FELICJA,KOBIETA,5903
KSENIIA,KOBIETA,5883
WALENTYNA,KOBIETA,5852
KRISTINA,KOBIETA,5716
AMANDA,KOBIETA,5665
ARINA,KOBIETA,5629
RUSLANA,KOBIETA,5629
ZENOBIA,KOBIETA,5431
HILDEGARDA,KOBIETA,5393
ROMUALDA,KOBIETA,5356
ALENA,KOBIETA,5348
OTYLIA,KOBIETA,5312
DARIIA,KOBIETA,5306
VITA,KOBIETA,5296
GIZELA,KOBIETA,5126
ALBINA,KOBIETA,5107
ANASTASIYA,KOBIETA,5105
GAJA,KOBIETA,5047
IRMINA,KOBIETA,5042
YULIYA,KOBIETA,4960
SOLOMIIA,KOBIETA,4931
VIKTORIA,KOBIETA,4862
LILLA,KOBIETA,4719
SŁAWOMIRA,KOBIETA,4652
TATSIANA,KOBIETA,4621
BERNARDA,KOBIETA,4550
ANGELINA,KOBIETA,4503
VLADYSLAVA,KOBIETA,4462
ERYKA,KOBIETA,4455
VOLHA,KOBIETA,4452
KATSIARYNA,KOBIETA,4440
ZHANNA,KOBIETA,4241
PELAGIA,KOBIETA,4231
LONGINA,KOBIETA,4173
ALEXANDRA,KOBIETA,4158
RAISA,KOBIETA,4156
ZOJA,KOBIETA,4133
VARVARA,KOBIETA,4097
NATALLIA,KOBIETA,4074
KAMILLA,KOBIETA,4066
RYSZARDA,KOBIETA,4026
IRINA,KOBIETA,4024
WALERIA,KOBIETA,3961
ANZHELA,KOBIETA,3941
LILA,KOBIETA,3906
TEODOZJA,KOBIETA,3879
BOHDANA,KOBIETA,3877
MIRELA,KOBIETA,3838
TEODORA,KOBIETA,3790
FAUSTYNA,KOBIETA,3691
MARINA,KOBIETA,3625
ADELAJDA,KOBIETA,3580
EVA,KOBIETA,3558
NATALIYA,KOBIETA,3554
DARYA,KOBIETA,3533
ANASTASIA,KOBIETA,3519
MARIYA,KOBIETA,3511
SAMANTA,KOBIETA,3475
NEL,KOBIETA,3397
OLIMPIA,KOBIETA,3395
JAGNA,KOBIETA,3393
SNIZHANA,KOBIETA,3309
YAROSLAVA,KOBIETA,3293
KSENIA,KOBIETA,3261
MARCELA,KOBIETA,3229
MARYLA,KOBIETA,3170
GALYNA,KOBIETA,3144
MARYIA,KOBIETA,3104
EMILIIA,KOBIETA,3044
ZORIANA,KOBIETA,3025
OKTAWIA,KOBIETA,2999
KONSTANCJA,KOBIETA,2983
LUCJA,KOBIETA,2944
ZYTA,KOBIETA,2897
NOEMI,KOBIETA,2858
PAMELA,KOBIETA,2826
NIKOL,KOBIETA,2818
EVELINA,KOBIETA,2780
CLAUDIA,KOBIETA,2778
EMILY,KOBIETA,2777
SOPHIE,KOBIETA,2747
JAŚMINA,KOBIETA,2742
WANESSA,KOBIETA,2723
ANZHELIKA,KOBIETA,2662
LEA,KOBIETA,2662
LEONARDA,KOBIETA,2632
TETYANA,KOBIETA,2591
VIKTORYIA,KOBIETA,2558
IULIIA,KOBIETA,2544
BOGNA,KOBIETA,2521
ZOIA,KOBIETA,2510
FELIKSA,KOBIETA,2510
STELLA,KOBIETA,2500
MIRELLA,KOBIETA,2492
ZINAIDA,KOBIETA,2439
INEZ,KOBIETA,2438
MICHELLE,KOBIETA,2430
NELIA,KOBIETA,2426
TOLA,KOBIETA,2400
GANNA,KOBIETA,2369
MILA,KOBIETA,2346
SVIATLANA,KOBIETA,2319
SARAH,KOBIETA,2271
LIUDMILA,KOBIETA,2269
SVETLANA,KOBIETA,2262
ANA,KOBIETA,2261
KRZYSZTOFA,KOBIETA,2253
LARA,KOBIETA,2247
OLA,KOBIETA,2225
VALENTINA,KOBIETA,2217
ANGELA,KOBIETA,2163
ALIAKSANDRA,KOBIETA,2158
TAISIIA,KOBIETA,2155
MIRIAM,KOBIETA,2078
NADZIEJA,KOBIETA,2051
GALINA,KOBIETA,2029
INES,KOBIETA,2021
EDWARDA,KOBIETA,2020
ADELINA,KOBIETA,1999
BOLESŁAWA,KOBIETA,1999
NATALIE,KOBIETA,1979
VASYLYNA,KOBIETA,1972
ELFRYDA,KOBIETA,1968
VITALINA,KOBIETA,1953
SOPHIA,KOBIETA,1933
LINA,KOBIETA,1922
ANTONIA,KOBIETA,1912
MAIIA,KOBIETA,1887
SALOMEA,KOBIETA,1848
ROMA,KOBIETA,1818
ELINA,KOBIETA,1808
MARIETTA,KOBIETA,1801
AMINA,KOBIETA,1794
IZA,KOBIETA,1788
EDELTRAUDA,KOBIETA,1781
ERIKA,KOBIETA,1755
MANUELA,KOBIETA,1727
VERONICA,KOBIETA,1726
KSENIYA,KOBIETA,1724
ARLETTA,KOBIETA,1714
KLEMENTYNA,KOBIETA,1712
LIVIA,KOBIETA,1684
YANINA,KOBIETA,1682
SOFIYA,KOBIETA,1661
KLAUDYNA,KOBIETA,1644
NIKA,KOBIETA,1618
MARGARITA,KOBIETA,1591
JANA,KOBIETA,1582
GRETA,KOBIETA,1569
ANDREA,KOBIETA,1566
NADIYA,KOBIETA,1563
GLORIA,KOBIETA,1555
FLORENTYNA,KOBIETA,1535
ALA,KOBIETA,1529
MARTINA,KOBIETA,1524
RUTA,KOBIETA,1509
LYUDMYLA,KOBIETA,1505
ROKSOLANA,KOBIETA,1500
EKATERINA,KOBIETA,1495
ISABELLA,KOBIETA,1477
INA,KOBIETA,1476
HELGA,KOBIETA,1471
VERANIKA,KOBIETA,1465
PALINA,KOBIETA,1461
WIERA,KOBIETA,1458
YARYNA,KOBIETA,1451
MIRA,KOBIETA,1442
VALERYIA,KOBIETA,1429
YELIZAVETA,KOBIETA,1420
MALINA,KOBIETA,1387
GERDA,KOBIETA,1375
DOBROSŁAWA,KOBIETA,1374
LYUBOV,KOBIETA,1374
HANNAH,KOBIETA,1364
VALERIA,KOBIETA,1359
LINDA,KOBIETA,1358
JENNIFER,KOBIETA,1357
ELLA,KOBIETA,1354
ARIANA,KOBIETA,1351
ELVIRA,KOBIETA,1347
SABRINA,KOBIETA,1328
PATRICIA,KOBIETA,1321
VIOLETA,KOBIETA,1314
DINA,KOBIETA,1300
NICOL,KOBIETA,1291
ALESIA,KOBIETA,1289
VERA,KOBIETA,1287
ELIZABETH,KOBIETA,1286
VIKTORIYA,KOBIETA,1281
LIZAVETA,KOBIETA,1279
ANDRIANA,KOBIETA,1270
EULALIA,KOBIETA,1264
LILY,KOBIETA,1257
BERNARDYNA,KOBIETA,1252
IRMGARDA,KOBIETA,1250
JAROSŁAWA,KOBIETA,1236
MARCJANNA,KOBIETA,1229
DANA,KOBIETA,1228
ALICE,KOBIETA,1227
GABRIELLA,KOBIETA,1217
LIANA,KOBIETA,1213
WANESA,KOBIETA,1207
TAMILA,KOBIETA,1201
CARMEN,KOBIETA,1200
MAJKA,KOBIETA,1188
KATERINA,KOBIETA,1186
BOGDANA,KOBIETA,1182
SIMONA,KOBIETA,1180
HANKA,KOBIETA,1168
DŻESIKA,KOBIETA,1163
MARITA,KOBIETA,1159
YULIANA,KOBIETA,1156
ANIKA,KOBIETA,1145
VLADA,KOBIETA,1145
NAOMI,KOBIETA,1144
LARISA,KOBIETA,1125
AKSANA,KOBIETA,1122
ALICIA,KOBIETA,1112
CAROLINE,KOBIETA,1111
WIRGINIA,KOBIETA,1111
ERNA,KOBIETA,1109
LUDMILA,KOBIETA,1108
DALIA,KOBIETA,1104
TEOFILA,KOBIETA,1097
KRYSTSINA,KOBIETA,1096
DAJANA,KOBIETA,1082
LUBA,KOBIETA,1069
VITALIIA,KOBIETA,1064
NASTASSIA,KOBIETA,1059
LILLY,KOBIETA,1052
EMANUELA,KOBIETA,1051
NADZEYA,KOBIETA,1047
BIANCA,KOBIETA,1046
NELLY,KOBIETA,1038
NIKOLETTA,KOBIETA,1038
ULYANA,KOBIETA,1036
YULIA,KOBIETA,1022
BALBINA,KOBIETA,1012
MAIA,KOBIETA,1010
LILIYA,KOBIETA,1006
ELIZAVETA,KOBIETA,1006
INKA,KOBIETA,1004
CRISTINA,KOBIETA,994
BERENIKA,KOBIETA,991
KAYA,KOBIETA,988
STEFANIIA,KOBIETA,969
RAMONA,KOBIETA,962
IRMA,KOBIETA,954
MELANIIA,KOBIETA,951
MARIAM,KOBIETA,950
MELISA,KOBIETA,942
DARINA,KOBIETA,928
ABIGAIL,KOBIETA,927
IDALIA,KOBIETA,924
CAROLINA,KOBIETA,917
JÓZEFINA,KOBIETA,913
ALIONA,KOBIETA,912
HANA,KOBIETA,905
ZOE,KOBIETA,903
KORNELA,KOBIETA,903
AURORA,KOBIETA,898
ŻAKLINA,KOBIETA,897
MICHAELA,KOBIETA,896
SWIETŁANA,KOBIETA,880
MARIE,KOBIETA,873
FILOMENA,KOBIETA,872
MELISSA,KOBIETA,871
SEWERYNA,KOBIETA,869
KUNEGUNDA,KOBIETA,868
AMALIA,KOBIETA,865
IWONNA,KOBIETA,863
INGRID,KOBIETA,862
LEILA,KOBIETA,859
EMILA,KOBIETA,854
BLANDYNA,KOBIETA,848
DZIYANA,KOBIETA,846
BENEDYKTA,KOBIETA,824
LIGIA,KOBIETA,819
MONICA,KOBIETA,819
SYBILLA,KOBIETA,814
LUBOMIRA,KOBIETA,812
ROXANA,KOBIETA,805
CLARA,KOBIETA,799
FATIMA,KOBIETA,793
TAISA,KOBIETA,791
NINO,KOBIETA,788
ARYNA,KOBIETA,779
GABRYELA,KOBIETA,775
GRACJANA,KOBIETA,770
CELESTYNA,KOBIETA,770
DOBRAWA,KOBIETA,751
LEONTYNA,KOBIETA,748
LISA,KOBIETA,740
YAUHENIYA,KOBIETA,737
SŁAWA,KOBIETA,737
INESA,KOBIETA,736
ORYSIA,KOBIETA,736
ELA,KOBIETA,732
MARGARETA,KOBIETA,729
INGEBORGA,KOBIETA,726
SILVIA,KOBIETA,717
MYLANA,KOBIETA,716
LEONIA,KOBIETA,713
ŻANETTA,KOBIETA,713
BERNARDETA,KOBIETA,703
TAMAR,KOBIETA,698
INHA,KOBIETA,693
VALIANTSINA,KOBIETA,692
LIA,KOBIETA,690
IANA,KOBIETA,686
BENITA,KOBIETA,685
ORIANA,KOBIETA,683
TINA,KOBIETA,677
KASANDRA,KOBIETA,676
SELENA,KOBIETA,671
ELISA,KOBIETA,667
GIULIA,KOBIETA,666
JASMINA,KOBIETA,662
JESIKA,KOBIETA,656
NATALYA,KOBIETA,656
LILI,KOBIETA,656
ZOYA,KOBIETA,654
ELISABETH,KOBIETA,650
KARIN,KOBIETA,644
CHARLOTTE,KOBIETA,644
JASMIN,KOBIETA,642
MARGARYTA,KOBIETA,642
EUNIKA,KOBIETA,639
DAGNA,KOBIETA,637
BERTA,KOBIETA,636
NATASHA,KOBIETA,635
NELLA,KOBIETA,635
NATHALIE,KOBIETA,635
SOFIJA,KOBIETA,634
DOBROCHNA,KOBIETA,633
TEKLA,KOBIETA,631
DOMICELA,KOBIETA,631
SAMANTHA,KOBIETA,628
SYLVIA,KOBIETA,628
JESSIKA,KOBIETA,626
LUCIA,KOBIETA,624
MIIA,KOBIETA,623
LUNA,KOBIETA,622
MELANIE,KOBIETA,621
LAILA,KOBIETA,616
